T [°C]	ΔT [°C]	konst	ΔR2 [Ω]	plat	ΔR4 [Ω]	kohl	ΔR5 [Ω]
20	0.5	4.100	0.041	1074	11	100.3	1.1
25.5	0.5	4.200	0.042	1101	12	100.1	1.1
30.5	0.5	4.200	0.042	1118	12	100.2	1.1
35.5	0.5	4.100	0.041	1137	12	100.2	1.1
40.5	0.5	4.100	0.041	1154	12	100.2	1.1
45.5	0.5	4.200	0.042	1174	12	100.2	1.1
50	0.5	4.100	0.041	1190	12	100.2	1.1
55	0.5	4.200	0.042	1211	13	100.2	1.1
60.2	0.5	4.100	0.041	1229	13	100.3	1.1
65.1	0.5	4.100	0.041	1248	13	100.2	1.1
70	0.5	4.200	0.042	1267	13	100.2	1.1
75.1	0.5	4.100	0.041	1287	13	100.3	1.1
80.1	0.5	4.100	0.041	1305	14	100.2	1.1
85	0.5	4.100	0.041	1326	14	100.2	1.1
90.1	0.5	4.200	0.042	1344	14	100.3	1.1
95.1	0.5	4.200	0.042	1362	14	100.2	1.1
